"","ob","mu.bmi_m","sigma.bmi_m","mu.bmi_s","sigma.bmi_s","mu.bmi_err","sigma.bmi_err","p.htn_m","p.htn_s","p.htn_misclassified"
"1","Obese",36.4139534883721,6.23912002449165,35.0189601688118,6.13036613945657,-1.5137234213967,2.56438870940571,0.48109640831758,0.45303626037571,0.373260437375746
"2","Overweight",27.4116666666667,1.40558675855837,26.7231854788412,1.94586911996558,-0.708920737211921,1.55168807781299,0.420128730251609,0.353987378083764,0.326504481434059
"3","Under/Normal",19.7002175686701,3.31788275575594,21.9239105603473,2.33516948405206,-0.0340710910288934,1.40508538276449,0.213721413721414,0.192878338278932,0.264163372859025
