"","eth5","mu.bmi_m","sigma.bmi_m","mu.bmi_s","sigma.bmi_s","mu.bmi_err","sigma.bmi_err","p.htn_m","p.htn_s","p.htn_misclassified"
"1","Hispanic",27.0043108036189,7.47710866117637,29.1243935247472,6.11142798898965,-0.8031238276984,2.32292635350135,0.323648648648649,0.261955745895789,0.310051107325383
"2","NH Asian",24.0958293838863,5.88747598562397,25.2079928729536,4.73319304914577,-0.697882603335917,1.47295998577741,0.374109263657957,0.267716535433071,0.306648575305292
"3","NH Black",27.6478051391863,9.41354313332742,29.8912823614974,7.66871601486476,-0.836638596516721,2.50833734007745,0.421917808219178,0.44452296819788,0.343485617597293
"4","NH White",26.7469594594595,8.4068127553089,28.5558947988087,7.08980328210348,-0.907888824403471,1.82913366626402,0.359071530080531,0.375059045819556,0.330527497194164
"5","Other",25.400185528757,8.7518994201224,29.0559892366082,7.82639174028393,-0.773060613399845,1.9025399126519,0.305623471882641,0.331306990881459,0.359154929577465
